timestamp,city,temperature,description
2025-12-25T10:15:49.300Z,Manchester,4.59,scattered clouds
2025-12-25T10:15:49.302Z,Manchester,4.59,scattered clouds
2025-12-25T12:28:56.508Z,Manchester,5.91,few clouds
2025-12-25T12:28:56.511Z,Manchester,5.92,few clouds
2025-12-25T14:14:11.978Z,Manchester,6.02,overcast clouds
2025-12-25T14:14:11.980Z,Manchester,6.02,overcast clouds
2025-12-25T16:17:51.040Z,Manchester,5.14,broken clouds
2025-12-25T16:17:51.042Z,Manchester,5.14,broken clouds
2025-12-25T18:20:42.478Z,Manchester,4.69,broken clouds
2025-12-25T18:20:42.480Z,Manchester,4.69,broken clouds
2025-12-25T20:16:22.764Z,Manchester,4.54,few clouds
2025-12-25T20:16:22.766Z,Manchester,4.54,few clouds
2025-12-25T22:14:16.767Z,Manchester,4.04,scattered clouds
2025-12-25T22:14:16.769Z,Manchester,4.04,scattered clouds
2025-12-26T01:09:00.463Z,Manchester,3.98,few clouds
2025-12-26T01:09:00.466Z,Manchester,3.98,few clouds
2025-12-26T03:19:59.134Z,Manchester,4.5,clear sky
2025-12-26T03:19:59.136Z,Manchester,4.5,clear sky
2025-12-26T04:29:47.923Z,Manchester,4.49,clear sky
2025-12-26T04:29:47.925Z,Manchester,4.49,clear sky
2025-12-26T06:23:16.702Z,Manchester,3.74,clear sky
2025-12-26T06:23:16.704Z,Manchester,3.74,clear sky
2025-12-26T08:20:10.624Z,Manchester,4.17,clear sky
2025-12-26T08:20:10.626Z,Manchester,4.17,clear sky
2025-12-26T10:15:52.340Z,Manchester,4.31,clear sky
2025-12-26T10:15:52.342Z,Manchester,4.31,clear sky
2025-12-26T12:28:51.427Z,Manchester,6.52,clear sky
2025-12-26T12:28:51.429Z,Manchester,6.52,clear sky
2025-12-26T14:14:38.187Z,Manchester,6.92,clear sky
2025-12-26T14:14:38.189Z,Manchester,6.92,clear sky
2025-12-26T16:17:05.472Z,Manchester,5.68,clear sky
2025-12-26T16:17:05.474Z,Manchester,5.68,clear sky
2025-12-26T18:21:10.207Z,Manchester,5.62,clear sky
2025-12-26T18:21:10.238Z,Manchester,5.62,clear sky
2025-12-26T20:15:27.228Z,Manchester,4.52,clear sky
2025-12-26T20:15:27.230Z,Manchester,4.52,clear sky
2025-12-26T22:14:22.265Z,Manchester,4.81,clear sky
2025-12-26T22:14:22.267Z,Manchester,4.81,clear sky
2025-12-27T01:06:56.473Z,Manchester,4.64,clear sky
2025-12-27T01:06:56.475Z,Manchester,4.64,clear sky
2025-12-27T03:18:18.111Z,Manchester,4.53,clear sky
2025-12-27T03:18:18.116Z,Manchester,4.53,clear sky
2025-12-27T04:27:46.321Z,Manchester,4.34,clear sky
2025-12-27T04:27:46.323Z,Manchester,4.34,clear sky
2025-12-27T06:21:46.016Z,Manchester,3.67,clear sky
2025-12-27T06:21:46.018Z,Manchester,3.67,clear sky
2025-12-27T08:18:54.295Z,Manchester,5.18,clear sky
2025-12-27T08:18:54.297Z,Manchester,5.18,clear sky
2025-12-27T10:14:05.690Z,Manchester,5.37,scattered clouds
2025-12-27T10:14:05.692Z,Manchester,5.37,scattered clouds
2025-12-27T12:26:59.287Z,Manchester,7.15,broken clouds
2025-12-27T12:26:59.290Z,Manchester,7.15,broken clouds
2025-12-27T14:12:59.523Z,Manchester,7.48,scattered clouds
